lumen count, experiment, heX-embryoid area
1, Control, 27515
1, Control, 27787
1, Control, 28609
1, Control, 28991
1, Control, 29477
1, Control, 32954
1, Control, 33097
1, Control, 33942
1, Control, 35160
1, Control, 37230
1, Control, 37612
1, Control, 37728
1, Control, 38127
1, Control, 38356
1, Control, 38735
1, Control, 38795
1, Control, 38985
1, Control, 40056
1, Control, 40729
1, Control, 41012
1, Control, 41244
1, Control, 42646
1, Control, 44200
1, Control, 44487
1, Control, 45099
1, Control, 47150
1, Control, 47372
1, Control, 47465
1, Control, 47784
1, Control, 48227
1, Control, 48508
1, Control, 49220
1, Control, 49842
1, Control, 49868
1, Control, 50590
1, Control, 51521
1, Control, 51977
1, Control, 52033
1, Control, 52292
1, Control, 52777
1, Control, 54345
1, Control, 54358
1, Control, 54618
1, Control, 55261
1, Control, 55405
1, Control, 56023
1, Control, 56401
1, Control, 57107
1, Control, 57303
1, Control, 57831
1, Control, 58326
1, Control, 58539
1, Control, 58663
1, Control, 58866
1, Control, 59261
1, Control, 59270
1, Control, 59749
1, Control, 60014
1, Control, 60636
1, Control, 61209
1, Control, 62136
1, Control, 62320
1, Control, 63322
1, Control, 63494
1, Control, 63642
1, Control, 65723
1, Control, 65866
1, Control, 66995
1, Control, 69801
1, Control, 70369
1, Control, 70770
1, Control, 71089
1, Control, 71640
1, Control, 72721
1, Control, 73201
1, Control, 74518
1, Control, 75695
1, Control, 75920
1, Control, 77560
1, Control, 78188
1, Control, 78312
1, Control, 78417
1, Control, 78433
1, Control, 78731
1, Control, 79389
1, Control, 80656
1, Control, 80758
1, Control, 80833
1, Control, 80877
1, Control, 81164
1, Control, 81734
1, Control, 81964
1, Control, 82493
1, Control, 82860
1, Control, 82985
1, Control, 83149
1, Control, 83668
1, Control, 84223
1, Control, 84698
1, Control, 87644
1, Control, 87730
1, Control, 88084
1, Control, 89545
1, Control, 90461
1, Control, 90556
1, Control, 91514
1, Control, 94863
1, Control, 96519
1, Control, 96908
1, Control, 98072
1, Control, 98611
1, Control, 99257
1, Control, 99640
1, Control, 100968
1, Control, 101893
1, Control, 102718
1, Control, 102992
1, Control, 104728
1, Control, 105523
1, Control, 106949
1, Control, 107555
1, Control, 107582
1, Control, 107832
1, Control, 108212
1, Control, 110320
1, Control, 110607
1, Control, 110686
1, Control, 112347
1, Control, 116146
1, Control, 116527
1, Control, 117560
1, Control, 117770
1, Control, 118757
1, Control, 119152
1, Control, 119543
1, Control, 120802
1, Control, 122912
1, Control, 123386
1, Control, 124027
1, Control, 125361
1, Control, 130714
1, Control, 130771
1, Control, 131150
1, Control, 135446
1, Control, 135740
1, Control, 136476
1, Control, 137891
1, Control, 137921
