size relative to human embryo, experiment, percent cleaved caspase-3 positive(%)
Above, Control, 0.641
Above, Control, 0.751
Above, Control, 0.86
Above, Control, 1.094
Above, Control, 1.203
Above, Control, 1.43
Above, Control, 1.916
Above, Control, 1.941
Above, Control, 1.944
Above, Control, 2.402
Above, Control, 2.72
Above, Control, 2.736
Above, Control, 3.285
Above, Control, 3.458
Above, Control, 3.472
Above, Control, 3.832
Above, Control, 4.266
Above, Control, 4.352
Above, Control, 4.847
Above, Control, 4.991
Above, Control, 5.111
Above, Control, 5.265
Above, Control, 5.514
Above, Control, 5.691
Above, Control, 5.771
Above, Control, 5.774
Above, Control, 5.796
Above, Control, 6.014
Above, Control, 6.435
Above, Control, 6.437
Above, Control, 6.696
Above, Control, 6.793
Above, Control, 6.869
Above, Control, 7.039
Above, Control, 7.345
Above, Control, 7.781
Above, Control, 7.796
Above, Control, 7.98
Above, Control, 8.444
Above, Control, 8.622
Above, Control, 8.821
Above, Control, 8.833
Above, Control, 8.841
Above, Control, 8.876
Above, Control, 8.953
Above, Control, 9.034
Above, Control, 9.186
Above, Control, 9.208
Above, Control, 9.482
Above, Control, 9.659
Above, Control, 9.676
Above, Control, 9.704
Above, Control, 9.708
Above, Control, 9.788
Above, Control, 9.818
Above, Control, 10.071
Above, Control, 10.179
Above, Control, 10.449
Above, Control, 10.716
Above, Control, 11.309
Above, Control, 11.84
Above, Control, 12.046
Above, Control, 12.207
Above, Control, 12.225
Above, Control, 12.332
Above, Control, 13.322
Above, Control, 13.71
Above, Control, 13.865
Above, Control, 13.99
Above, Control, 14.629
Above, Control, 14.827
Above, Control, 15.433
Above, Control, 15.499
Above, Control, 16.406
Above, Control, 16.434
Above, Control, 16.712
Above, Control, 17.695
Above, Control, 17.699
Above, Control, 17.729
Above, Control, 17.825
Above, Control, 18.317
Above, Control, 18.389
Above, Control, 18.604
Above, Control, 18.662
Above, Control, 19.55
Above, Control, 19.882
Above, Control, 20.406
Above, Control, 21.196
Above, Control, 21.771
Above, Control, 22.889
Above, Control, 22.929
Above, Control, 23.457
Above, Control, 24.082
Above, Control, 24.506
Above, Control, 24.624
Above, Control, 24.658
Above, Control, 25.093
Above, Control, 25.697
Above, Control, 26.25
Above, Control, 26.742
Above, Control, 27.531
Above, Control, 28.292
Above, Control, 29.156
Above, Control, 29.942
Above, Control, 30.744
Above, Control, 31.132
Above, Control, 31.806
Above, Control, 35.357
Above, Control, 35.64
Above, Control, 36.857
Above, Control, 36.883
Above, Control, 37.118
Above, Control, 38.537
Above, Control, 39.1
Above, Control, 39.15
Above, Control, 39.981
Above, Control, 40.18
Above, Control, 41.073
Above, Control, 41.67
Above, Control, 41.953
Above, Control, 42.174
Above, Control, 43.782
Above, Control, 46.514
Above, Control, 49.999
Above, Control, 51.717
Above, Control, 52.51
Above, Control, 64.191
Above, Control, 72.69
Above, Control, 98.06
Above, Inhibitor, 0.001
Above, Inhibitor, 0.004
Above, Inhibitor, 0.006
Above, Inhibitor, 0.011
Above, Inhibitor, 0.019
Above, Inhibitor, 0.021
Above, Inhibitor, 0.022
Above, Inhibitor, 0.023
Above, Inhibitor, 0.023
Above, Inhibitor, 0.034
Above, Inhibitor, 0.038
Above, Inhibitor, 0.039
Above, Inhibitor, 0.04
Above, Inhibitor, 0.052
Above, Inhibitor, 0.058
Above, Inhibitor, 0.069
Above, Inhibitor, 0.069
Above, Inhibitor, 0.085
Above, Inhibitor, 0.085
Above, Inhibitor, 0.088
Above, Inhibitor, 0.093
Above, Inhibitor, 0.1
Above, Inhibitor, 0.1
Above, Inhibitor, 0.106
Above, Inhibitor, 0.11
Above, Inhibitor, 0.112
Above, Inhibitor, 0.114
Above, Inhibitor, 0.114
Above, Inhibitor, 0.124
Above, Inhibitor, 0.128
Above, Inhibitor, 0.13
Above, Inhibitor, 0.131
Above, Inhibitor, 0.135
Above, Inhibitor, 0.137
Above, Inhibitor, 0.139
Above, Inhibitor, 0.139
Above, Inhibitor, 0.141
Above, Inhibitor, 0.143
Above, Inhibitor, 0.144
Above, Inhibitor, 0.145
Above, Inhibitor, 0.146
Above, Inhibitor, 0.149
Above, Inhibitor, 0.15
Above, Inhibitor, 0.156
Above, Inhibitor, 0.161
Above, Inhibitor, 0.164
Above, Inhibitor, 0.168
Above, Inhibitor, 0.17
Above, Inhibitor, 0.173
Above, Inhibitor, 0.175
Above, Inhibitor, 0.184
Above, Inhibitor, 0.186
Above, Inhibitor, 0.189
Above, Inhibitor, 0.189
Above, Inhibitor, 0.191
Above, Inhibitor, 0.197
Above, Inhibitor, 0.198
Above, Inhibitor, 0.201
Above, Inhibitor, 0.204
Above, Inhibitor, 0.207
Above, Inhibitor, 0.208
Above, Inhibitor, 0.208
Above, Inhibitor, 0.208
Above, Inhibitor, 0.21
Above, Inhibitor, 0.218
Above, Inhibitor, 0.219
Above, Inhibitor, 0.232
Above, Inhibitor, 0.236
Above, Inhibitor, 0.237
Above, Inhibitor, 0.237
Above, Inhibitor, 0.239
Above, Inhibitor, 0.24
Above, Inhibitor, 0.261
Above, Inhibitor, 0.269
Above, Inhibitor, 0.28
Above, Inhibitor, 0.289
Above, Inhibitor, 0.291
Above, Inhibitor, 0.301
Above, Inhibitor, 0.314
Above, Inhibitor, 0.328
Above, Inhibitor, 0.346
Above, Inhibitor, 0.353
Above, Inhibitor, 0.365
Above, Inhibitor, 0.365
Above, Inhibitor, 0.37
Above, Inhibitor, 0.387
Above, Inhibitor, 0.389
Above, Inhibitor, 0.394
Above, Inhibitor, 0.427
Above, Inhibitor, 0.429
Above, Inhibitor, 0.434
Above, Inhibitor, 0.449
Above, Inhibitor, 0.46
Above, Inhibitor, 0.502
Above, Inhibitor, 0.509
Above, Inhibitor, 0.516
Above, Inhibitor, 0.534
Above, Inhibitor, 0.536
Above, Inhibitor, 0.55
Above, Inhibitor, 0.553
Above, Inhibitor, 0.565
Above, Inhibitor, 0.585
Above, Inhibitor, 0.587
Above, Inhibitor, 0.603
Above, Inhibitor, 0.603
Above, Inhibitor, 0.607
Above, Inhibitor, 0.628
Above, Inhibitor, 0.636
Above, Inhibitor, 0.679
Above, Inhibitor, 0.82
Above, Inhibitor, 0.823
Above, Inhibitor, 0.861
Above, Inhibitor, 0.871
Above, Inhibitor, 0.873
Above, Inhibitor, 0.879
Above, Inhibitor, 0.9
Above, Inhibitor, 0.996
Above, Inhibitor, 1.023
Above, Inhibitor, 1.047
Above, Inhibitor, 1.092
Above, Inhibitor, 1.181
Above, Inhibitor, 1.266
Above, Inhibitor, 1.276
Above, Inhibitor, 1.418
Above, Inhibitor, 1.429
Above, Inhibitor, 1.711
Above, Inhibitor, 2.024
Above, Inhibitor, 2.054
Above, Inhibitor, 2.911
Above, Inhibitor, 3.066
Above, Inhibitor, 3.107
Above, Inhibitor, 3.423
Above, Inhibitor, 3.515
Above, Inhibitor, 4.713
Above, Inhibitor, 4.871
Above, Inhibitor, 6.222
Below, Control, 0.
Below, Control, 0.
Below, Control, 0.
Below, Control, 0.
Below, Control, 0.
Below, Control, 0.003
Below, Control, 0.02
Below, Control, 0.043
Below, Control, 0.095
Below, Control, 0.166
Below, Control, 0.191
Below, Control, 0.24
Below, Control, 0.27
Below, Control, 0.379
Below, Control, 0.521
Below, Control, 0.655
Below, Control, 1.831
Below, Control, 1.918
Below, Control, 2.756
Below, Control, 2.781
Below, Control, 2.809
Below, Control, 2.892
Below, Control, 2.919
Below, Control, 3.111
Below, Control, 3.443
Below, Control, 3.809
Below, Control, 4.018
Below, Control, 4.759
Below, Control, 6.321
Below, Control, 6.343
Below, Control, 6.754
Below, Control, 8.18
Below, Control, 8.735
Below, Control, 10.059
Below, Control, 11.125
Below, Control, 12.97
Below, Control, 14.5
Below, Control, 15.18
Below, Control, 15.202
Below, Control, 15.926
Below, Control, 15.99
Below, Control, 16.639
Below, Control, 16.653
Below, Control, 17.307
Below, Control, 17.504
Below, Control, 18.257
Below, Control, 18.99
Below, Control, 19.004
Below, Control, 22.467
Below, Control, 23.689
Below, Control, 24.37
Below, Control, 32.062
Below, Control, 41.439
Below, Control, 43.064
Below, Control, 65.483
Below, Inhibitor, 0.
Below, Inhibitor, 0.
Below, Inhibitor, 0.
Below, Inhibitor, 0.
Below, Inhibitor, 0.002
Below, Inhibitor, 0.002
Below, Inhibitor, 0.002
Below, Inhibitor, 0.008
Below, Inhibitor, 0.02
Below, Inhibitor, 0.03
Below, Inhibitor, 0.036
Below, Inhibitor, 0.044
Below, Inhibitor, 0.044
Below, Inhibitor, 0.065
Below, Inhibitor, 0.081
