size relative to human embryo, experiment, KI67 (intensity/area)
Above, Control, 9564616
Above, Control, 10513730
Above, Control, 11614576
Above, Control, 11703770
Above, Control, 11774517
Above, Control, 12012362
Above, Control, 12211100
Above, Control, 12240302
Above, Control, 12330393
Above, Control, 12385472
Above, Control, 12498148
Above, Control, 12515459
Above, Control, 12721762
Above, Control, 12940377
Above, Control, 13472043
Above, Control, 13618248
Above, Control, 13817825
Above, Control, 13971900
Above, Control, 14075493
Above, Control, 14161793
Above, Control, 14302158
Above, Control, 14404105
Above, Control, 14427820
Above, Control, 14563208
Above, Control, 14642180
Above, Control, 14677041
Above, Control, 14713116
Above, Control, 14748987
Above, Control, 14800587
Above, Control, 14832048
Above, Control, 14859724
Above, Control, 14901873
Above, Control, 14942944
Above, Control, 14982519
Above, Control, 15041507
Above, Control, 15233072
Above, Control, 15463034
Above, Control, 15485850
Above, Control, 15494902
Above, Control, 15523515
Above, Control, 15793782
Above, Control, 15867440
Above, Control, 15917477
Above, Control, 16022061
Above, Control, 16061718
Above, Control, 16099992
Above, Control, 16103547
Above, Control, 16110465
Above, Control, 16226738
Above, Control, 16480921
Above, Control, 16705486
Above, Control, 16780480
Above, Control, 16828110
Above, Control, 16878394
Above, Control, 16899814
Above, Control, 16920369
Above, Control, 16971718
Above, Control, 17390754
Above, Control, 17391114
Above, Control, 17418170
Above, Control, 17448960
Above, Control, 17503566
Above, Control, 17512105
Above, Control, 17607147
Above, Control, 17692865
Above, Control, 17749142
Above, Control, 17764692
Above, Control, 17851091
Above, Control, 17903725
Above, Control, 18216780
Above, Control, 18472649
Above, Control, 18706321
Above, Control, 18732363
Above, Control, 18858597
Above, Control, 18988304
Above, Control, 19022327
Above, Control, 19104956
Above, Control, 19238210
Above, Control, 19339230
Above, Control, 19345924
Above, Control, 19523229
Above, Control, 19580043
Above, Control, 19587064
Above, Control, 19632576
Above, Control, 19707602
Above, Control, 19802800
Above, Control, 19862605
Above, Control, 20008372
Above, Control, 20067658
Above, Control, 20125895
Above, Control, 20364151
Above, Control, 20477479
Above, Control, 20477566
Above, Control, 20529869
Above, Control, 20558260
Above, Control, 20752795
Above, Control, 20784013
Above, Control, 21023328
Above, Control, 21103131
Above, Control, 21199917
Above, Control, 21323329
Above, Control, 21361772
Above, Control, 21364913
Above, Control, 21530200
Above, Control, 21597808
Above, Control, 21752632
Above, Control, 21968650
Above, Control, 22187047
Above, Control, 22376583
Above, Control, 22438763
Above, Control, 22459482
Above, Control, 22526926
Above, Control, 22551993
Above, Control, 23032765
Above, Control, 23079550
Above, Control, 23306134
Above, Control, 23458988
Above, Control, 23540711
Above, Control, 23685674
Above, Control, 23742019
Above, Control, 23806214
Above, Control, 23912362
Above, Control, 23926242
Above, Control, 23941697
Above, Control, 24036831
Above, Control, 24039007
Above, Control, 24261300
Above, Control, 24293355
Above, Control, 24582646
Above, Control, 24684922
Above, Control, 25166336
Above, Control, 25192900
Above, Control, 25240610
Above, Control, 25490108
Above, Control, 26114408
Above, Control, 26124007
Above, Control, 26214422
Above, Control, 26371785
Above, Control, 26705606
Above, Control, 26924005
Above, Control, 26994152
Above, Control, 27611443
Above, Control, 27637121
Above, Control, 27929846
Above, Control, 28038437
Above, Control, 28067657
Above, Control, 28161796
Above, Control, 28881903
Above, Control, 29115641
Above, Control, 29180288
